link,link/_text,link/_title,item_link,item_link/_text,item_link/_title,itemlink_image,itemlink_image/_alt,item_price,priceitem_number,installmentsquantity_number,mesesde_label,text_price,pricetext_number,envogratis_label,envogratis_value,envogratis_value_numbers,distrito_label
"http://articulo.mercadolibre.com.mx/MLM-571496296-videojuego-fire-emblem-fates-conquest-nintendo-3ds-standard-_JM","Videojuego Fire Emblem Fates Conquest Nintendo 3ds Standard","","http://articulo.mercadolibre.com.mx/MLM-571496296-videojuego-fire-emblem-fates-conquest-nintendo-3ds-standard-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_581515-MLM25247901925_122016-H.jpg","Videojuego Fire Emblem Fates Conquest Nintendo 3ds Standard","999","0","12","meses de","98","69","Envío gratis","2 vendidos","2","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496445-videojuego-yoshis-woolly-world-nintendo-wii-u-amiibo-azul-_JM","Videojuego Yoshis Woolly World Nintendo Wii U + Amiibo Azul","","http://articulo.mercadolibre.com.mx/MLM-571496445-videojuego-yoshis-woolly-world-nintendo-wii-u-amiibo-azul-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_601615-MLM25247906754_122016-H.jpg","Videojuego Yoshis Woolly World Nintendo Wii U + Amiibo Azul","999","0","12","meses de","98","69","Envío gratis","3 vendidos","3","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496162-figura-amiibo-timmy-tommy-animal-crossing-nintendo-wii-u-_JM","Figura Amiibo Timmy & Tommy Animal Crossing Nintendo Wii U","","http://articulo.mercadolibre.com.mx/MLM-571496162-figura-amiibo-timmy-tommy-animal-crossing-nintendo-wii-u-_JM","","","https://http2.mlstatic.com/amiibo-nintendo-D_Q_NP_284515-MLM25247901813_122016-H.jpg","Figura Amiibo Timmy & Tommy Animal Crossing Nintendo Wii U","299","0","12","meses de","29","54","Envío gratis","2 vendidos","2","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496375-videojuego-donkey-kong-country-returns-nintendo-selects-wii-_JM","Videojuego Donkey Kong Country Returns Nintendo Selects Wii","","http://articulo.mercadolibre.com.mx/MLM-571496375-videojuego-donkey-kong-country-returns-nintendo-selects-wii-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_683515-MLM25247906690_122016-H.jpg","Videojuego Donkey Kong Country Returns Nintendo Selects Wii","599","0","12","meses de","59","18","Envío gratis","3 vendidos","3","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496371-videojuego-super-mario-maker-3-nintendo-3ds-gamer-_JM","Videojuego Super Mario Maker 3 Nintendo 3ds Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496371-videojuego-super-mario-maker-3-nintendo-3ds-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_558515-MLM25247906689_122016-H.jpg","Videojuego Super Mario Maker 3 Nintendo 3ds Gamer","1099","0","12","meses de","108","57","Envío gratis","1 vendido","1","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496405-videojuego-super-mario-maker-nintendo-wii-u-gamer-_JM","Videojuego Super Mario Maker Nintendo Wii U Gamer","","http://articulo.mercadolibre.com.mx/MLM-571496405-videojuego-super-mario-maker-nintendo-wii-u-gamer-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_600615-MLM25247901971_122016-H.jpg","Videojuego Super Mario Maker Nintendo Wii U Gamer","1399","0","12","meses de","138","21","Envío gratis","1 vendido","1","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496300-videojuego-capitan-toad-treasure-tracker-nintendo-wii-u-_JM","Videojuego Capitan Toad: Treasure Tracker Nintendo Wii U","","http://articulo.mercadolibre.com.mx/MLM-571496300-videojuego-capitan-toad-treasure-tracker-nintendo-wii-u-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_155515-MLM25247906648_122016-H.jpg","Videojuego Capitan Toad: Treasure Tracker Nintendo Wii U","899","0","12","meses de","88","81","Envío gratis","1 vendido","1","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496169-figura-amiibo-pac-man-serie-super-smash-bros-nintendo-wii-u-_JM","Figura Amiibo Pac-man Serie Super Smash Bros Nintendo Wii U","","http://articulo.mercadolibre.com.mx/MLM-571496169-figura-amiibo-pac-man-serie-super-smash-bros-nintendo-wii-u-_JM","","","https://http2.mlstatic.com/amiibo-nintendo-D_Q_NP_803515-MLM25247902800_122016-H.jpg","Figura Amiibo Pac-man Serie Super Smash Bros Nintendo Wii U","349","0","12","meses de","34","48","Envío gratis","1 vendido","1","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496208-figura-amiibo-luigi-serie-super-mario-bros-nintendo-wii-u-_JM","Figura Amiibo Luigi Serie Super Mario Bros Nintendo Wii U","","http://articulo.mercadolibre.com.mx/MLM-571496208-figura-amiibo-luigi-serie-super-mario-bros-nintendo-wii-u-_JM","","","https://http2.mlstatic.com/amiibo-nintendo-D_Q_NP_479515-MLM25247907137_122016-H.jpg","Figura Amiibo Luigi Serie Super Mario Bros Nintendo Wii U","349","0","12","meses de","34","48","Envío gratis","1 vendido","1","Distrito Federal"
"http://articulo.mercadolibre.com.mx/MLM-571496227-videojuego-animal-crossing-happy-home-designer-nintendo-3ds-_JM","Videojuego Animal Crossing Happy Home Designer Nintendo 3ds","","http://articulo.mercadolibre.com.mx/MLM-571496227-videojuego-animal-crossing-happy-home-designer-nintendo-3ds-_JM","","","https://http2.mlstatic.com/videojuegos-D_Q_NP_335515-MLM25247902840_122016-H.jpg","Videojuego Animal Crossing Happy Home Designer Nintendo 3ds","599","0","12","meses de","59","18","Envío gratis","1 vendido","1","Distrito Federal"
